-3.0,-38.0,0.084745735
-3.0,-39.0,0.07508946
-3.0,-40.0,0.059494853
-3.0,-41.0,0.045088474
-3.0,-42.0,0.037797242
-3.0,-43.0,0.03154679
-3.0,-44.0,0.026215054
-3.0,-45.0,0.021689363
-3.0,-46.0,0.018706696
-3.0,-47.0,0.017602794
-3.0,-48.0,0.0143974
-2.0,-35.0,0.19262171
-2.0,-36.0,0.15653633
-2.0,-37.0,0.12184065
-2.0,-38.0,0.10839223
-2.0,-48.0,0.016417434
-2.0,-49.0,0.014754645
-2.0,-50.0,0.013767559
-1.0,-31.0,0.4316581
-1.0,-32.0,0.3931384
-1.0,-33.0,0.31677192
-1.0,-34.0,0.259256
-1.0,-35.0,0.23352438
-1.0,-50.0,0.015663762
-1.0,-51.0,0.014008841
-1.0,-52.0,0.013695675
0.0,0.0,2.9148922
0.0,-28.0,0.83613825
0.0,-29.0,0.71123195
0.0,-30.0,0.5808472
0.0,-31.0,0.51591873
0.0,-52.0,0.015584734
0.0,-53.0,0.0144622885
1.0,1.0,3.4616826
1.0,0.0,3.348545
1.0,-26.0,1.3395948
1.0,-27.0,1.1245358
1.0,-28.0,0.9852246
1.0,-53.0,0.017055968
1.0,-54.0,0.016674515
2.0,1.0,3.9472897
2.0,-24.0,2.0225835
2.0,-25.0,1.7605463
2.0,-26.0,1.562377
2.0,-54.0,0.019594995
2.0,-55.0,0.019110069
3.0,1.0,4.5551753
3.0,-23.0,2.7257118
3.0,-24.0,2.3837793
3.0,-55.0,0.022377219
3.0,-56.0,0.021770284
4.0,1.0,5.377834
4.0,-21.0,4.0503554
4.0,-22.0,3.6008432
4.0,-23.0,3.2643607
4.0,-56.0,0.027754758
4.0,-57.0,0.027002739
5.0,2.0,6.1234417
5.0,1.0,6.0161295
5.0,-20.0,5.217648
5.0,-21.0,4.596213
5.0,-57.0,0.03150619
6.0,2.0,7.0390515
6.0,-19.0,6.7647667
6.0,-20.0,6.1047935
6.0,-57.0,0.039989877
6.0,-58.0,0.038690824
7.0,2.0,7.8162885
7.0,-18.0,8.605736
7.0,-19.0,7.8369045
7.0,-58.0,0.048533976
7.0,-59.0,0.04704905
